fecha_venta,hora_venta,Producto,Valor_sugerido,venta_final,venta_inventario,valor_compra,contribucion,Comprador,fecha_ingreso_inventario,NOMBRE,sexo_producto,color_prenda,talla_prenda,proveedor,OBSERVACIONES
2022-07-02,1630,0020,60000,55000,60000,34666,20334,Mujer,2022-06-01,BUZO CUELLO ALTO,MUJER,ROSADO,U,TULCAN,
2022-07-02,1730,0057,60000,55000,60000,34667,20333,Mujer,2022-06-01,ETNICO,MUJER,CREMA,U,TULCAN,
2022-07-04,830,1081,70000,65000,70000,42000,23000,Hombre,2022-06-16,CHALECO,HOMBRE,NEGRO,M,TEJIDOS RICHARDS,
2022-07-04,1000,0032,60000,55000,60000,34666,20334,Mujer,2022-06-01,CANGURO,MUJER,BLANCO,U,TULCAN,
2022-07-04,1200,0058,60000,50000,60000,34667,15333,Mujer,2022-06-01,ETNICO,MUJER,BLANCO,U,TULCAN,
2022-07-04,1330,0007,65000,60000,65000,38000,22000,Hombre,2022-06-01,BOLIVAR,HOMBRE,GRIS,U,TOTAS,
2022-07-04,1500,0036,60000,55000,60000,34666,20334,Mujer,2022-06-01,LLACADO CON FELPA,MUJER,CAFE,U,TULCAN,
2022-07-05,1530,0013,60000,55000,60000,34666,20334,,2022-06-01,BUZO ACANALADO,MUJER,NEGRO,U,TULCAN,
2022-07-05,1700,0012,60000,55000,60000,34666,20334,Mujer,2022-06-01,BUZO ACANALADO,MUJER,CAFE,U,TULCAN,
2022-07-05,1730,1004,70000,65000,70000,38000,27000,Mujer,2022-06-07,AMORE,MUJER,NEGRO,U,TOTAS,
2022-07-05,1730,0120,60000,55000,60000,34000,21000,Hombre,2022-06-01,POLO V,HOMBRE,GRIS,U,TOTAS,
2022-07-06,1130,1046,22000,15000,22000,10300,4700,Hombre,2022-06-16,BASICA,HOMBRE,ROJO,S,ETANOL CAMISAS,
2022-07-06,1130,1045,22000,15000,22000,10300,4700,Hombre,2022-06-16,BASICA,HOMBRE,NEGRO,M,ETANOL CAMISAS,
2022-07-06,1230,1058,20000,15000,20000,8300,6700,Mujer,2022-06-16,BASICA,MUJER,ROSADO,L,ETANOL CAMISAS,
2022-07-06,1230,1059,20000,15000,20000,8300,6700,Mujer,2022-06-16,BASICA,MUJER,ROSADO,L,ETANOL CAMISAS,
2022-07-06,1230,1075,20000,15000,20000,9100,5900,Mujer,2022-06-16,BASICA,MUJER,GRIS,XL,ETANOL CAMISAS,
2022-07-06,1230,1069,20000,15000,20000,9100,5900,Mujer,2022-06-16,BASICA,MUJER,BLANCO,XXL,ETANOL CAMISAS,
2022-07-06,1500,0016,60000,50000,60000,34666,15334,Mujer,2022-06-01,MOTITAS,MUJER,VERDE CLARO,U,TULCAN,
2022-07-06,1700,0090,55000,50000,55000,31333,18667,Mujer,2022-06-01,CUELLO BANDEJA CORTO,MUJER,ROSADO,U,TULCAN,
2022-07-07,1500,1061,20000,15000,20000,8300,6700,Mujer,2022-06-16,BASICA,MUJER,GRIS,L,ETANOL CAMISAS,
